,Sample-1,Sample-2,Sample-3
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.225842927367705,0.19057795233144664,0.24986484925493824
HALLMARK_HYPOXIA,0.27368597578673753,0.265125549055399,0.25833809557595183
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.30476311490288616,0.36868397168270106,0.3738137593029588
HALLMARK_MITOTIC_SPINDLE,0.34275816210308707,0.3973249237940365,0.36882027243220467
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.24486234646336297,0.3041943486416167,0.22150420523991043
HALLMARK_TGF_BETA_SIGNALING,0.3619831521483364,0.3500475316485482,0.3983867476116523
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.1572483082651222,0.146021689666381,0.142554889039922
HALLMARK_DNA_REPAIR,0.41824204127889003,0.4611453003193791,0.4455355609739345
HALLMARK_G2M_CHECKPOINT,0.3340295022542715,0.4580576500106425,0.43657118531466277
HALLMARK_APOPTOSIS,0.25073545747324844,0.27657963926382334,0.30133793643563245
HALLMARK_NOTCH_SIGNALING,0.32841486658195684,0.27388659466327825,0.3215454256670902
HALLMARK_ADIPOGENESIS,0.4144204433149795,0.3522013014516191,0.40222222222222226
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.23652010139384289,0.17855042924683467,0.24113236024484164
HALLMARK_ESTROGEN_RESPONSE_LATE,0.21760441342672698,0.20562073391097802,0.23771794167789395
HALLMARK_ANDROGEN_RESPONSE,0.35275499595702897,0.28612734716927857,0.3341850525586231
HALLMARK_MYOGENESIS,0.12452861512135005,0.11139330706901723,0.08625873969593842
HALLMARK_PROTEIN_SECRETION,0.4996426302414231,0.47809773401101235,0.43372935196950446
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.26725857687420584,0.27679479034307497,0.3876752435408725
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.22945633034268795,0.24873302846380588,0.244771702603861
HALLMARK_APICAL_JUNCTION,0.21924341617270493,0.20365533833422556,0.18975302988280363
HALLMARK_APICAL_SURFACE,0.17764143522720396,0.09651842439644219,0.1816687844133842
HALLMARK_HEDGEHOG_SIGNALING,-0.12436255823803477,0.14675561202880139,-0.1468939714810108
HALLMARK_COMPLEMENT,0.14672769234758704,0.18400254129606097,0.14624147498897905
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.4922985115265928,0.47635369395534577,0.48179433654020687
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.31025803929234674,0.3360873814876356,0.3095425667090216
HALLMARK_MTORC1_SIGNALING,0.47000551897629406,0.506407659825703,0.4942869610976345
HALLMARK_E2F_TARGETS,0.33889539209038066,0.5018548827777815,0.4375166402222647
