,precision,recall,f1-score,support
BileDuct,0.3333333333333333,0.25,0.28571428571428575,4.0
Bladder,0.8571428571428571,1.0,0.923076923076923,6.0
Brain,0.0,0.0,0.0,0.0
Breast,1.0,0.9259259259259259,0.9615384615384615,54.0
Colorectal,0.9629629629629629,0.9629629629629629,0.9629629629629629,27.0
HeadAndNeck,1.0,0.5,0.6666666666666666,2.0
Kidney,0.75,1.0,0.8571428571428571,6.0
Liver,1.0,0.9642857142857143,0.9818181818181818,28.0
Lung,0.4444444444444444,0.8,0.5714285714285714,5.0
Ovary,0.8333333333333334,1.0,0.9090909090909091,5.0
Pancreas,0.6923076923076923,0.9,0.7826086956521738,10.0
Prostate,1.0,0.8,0.888888888888889,5.0
Skin,1.0,1.0,1.0,2.0
Stomach,0.8695652173913043,0.8695652173913043,0.8695652173913043,23.0
Thyroid,1.0,0.8888888888888888,0.9411764705882353,27.0
Uterus,1.0,0.6666666666666666,0.8,6.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.7964431150572455,0.7830184610075914,0.7751049432475263,210.0
weighted avg,0.9251816966102681,0.9,0.9069351841949574,210.0
