,precision,recall,f1-score,support
BileDuct,0.5,0.25,0.3333333333333333,4.0
Bladder,0.8571428571428571,1.0,0.923076923076923,6.0
Brain,0.0,0.0,0.0,0.0
Breast,1.0,1.0,1.0,5.0
Colorectal,0.95,0.95,0.9500000000000001,20.0
HeadAndNeck,1.0,0.5,0.6666666666666666,2.0
Kidney,0.8571428571428571,1.0,0.923076923076923,6.0
Liver,1.0,1.0,1.0,13.0
Lung,1.0,0.8,0.888888888888889,5.0
Ovary,0.8333333333333334,1.0,0.9090909090909091,5.0
Pancreas,0.8181818181818182,0.9,0.8571428571428572,10.0
Prostate,1.0,0.8,0.888888888888889,5.0
Skin,1.0,1.0,1.0,2.0
Stomach,0.7692307692307693,0.9090909090909091,0.8333333333333333,11.0
Thyroid,1.0,1.0,1.0,3.0
Uterus,1.0,0.6666666666666666,0.8,6.0
accuracy,0.8932038834951457,0.8932038834951457,0.8932038834951457,0.8932038834951457
macro avg,0.8490644771894773,0.7984848484848485,0.8108436702186702,103.0
weighted avg,0.9038421125799767,0.8932038834951457,0.8904468778255187,103.0
